Harry Potter,GTA 6,Stranger Things,Naruto,BTS ARMY
Раскольников открывает старый фолиант — и внезапно оказывается в Хогвартсе.,"Онегин покупает дорогую машину в Vice City, но сразу же её врезает.",Наташа Ростова поёт в Изнанке — и даже Демогоргон замирает.,Базаров отказывается верить в чакру — пока случайно не использует технику призыва.,Чацкий попадает на концерт BTS и его монолог превращается в рэп.
Соня Мармеладова получает письмо из Хогвартса — её нежность и вера в добро становятся её первой «магической силой».,"Татьяна становится лидером уличной банды и доказывает, что честь важнее денег.",Пьер Безухов строит баррикаду в Хоукинсе и зовёт подростков защищать город.,"Аркадий Кирсанов тренируется с Наруто и понимает, что вера в друзей сильнее теории.","Татьяна ведёт фан-блог о BTS, и её искренние посты набирают миллионы лайков."
Онегин приходит в дуэльный клуб Хогвартса и случайно вызывает на поединок самого Драко Малфоя.,Чацкий устраивает «моральный стендап» прямо посреди криминального квартала.,"Соня становится «целительницей», которая одним словом успокаивает чудовищ.",Соня лечит раненых шиноби — её сила доброты удивляет даже Цунаде.,"Онегин вначале смеётся над фанатками, но сам тайком слушает «Spring Day»."
"Татьяна Ларина, гуляя по саду, встречает сову с письмом — и вскоре оказывается в библиотеке Хогвартса среди волшебных книг.","Пьер Безухов строит приют для сирот — и удивляется, что это возможно даже в GTA.","Онегин видит Изнанку и впервые задумывается, что пустота в его душе похожа на этот мир.","Онегин учится технике теневых клонов, чтобы справляться с социальными вечеринками.",Соня пишет письмо BTS о доброте — и её слова зачитывают на концерте.
"Пьер Безухов садится на распределяющую шляпу — и та никак не может решить, куда его отправить.",Базаров продаёт оружие и одновременно пишет статью «Почему прогресс не остановить».,"Базаров спорит с Одиннадцатью о том, что сильнее — наука или сила мысли.","Татьяна в Академии ниндзя пишет тайный дневник о том, каково быть чужой в новом мире.","Пьер Безухов организует фан-ивент и раздаёт еду всем, кто стоит в очереди."
"Базаров презрительно называет магию «детскими трюками»… пока не видит, как Невилл оживляет растения.",Соня работает волонтёром в криминальном мире — её уважают даже самые жесткие гангстеры.,"Чацкий записывает монолог о Хоукинсе, и его речь становится оружием против Тьмы.",Чацкий сражается с Какаши в спарринге… но вместо кунаев кидает цитаты.,"Наташа Ростова танцует кавер на BTS — и все понимают, что это её «сверхсила»."
Чацкий врывается на лекцию по Защите от Тёмных искусств и начинает спорить с профессором.,Наташа Ростова выигрывает уличные гонки и становится звездой Vice City.,Татьяна пишет письмо… и оно оказывается в руках у мальчиков из Хоукинса.,Пьер Безухов становится самым добрым шиноби — он пытается дружить даже с Орочимару.,"Базаров скептически слушает k-pop, но потом осознаёт, что это «музыка народа»."
Софья из «Горя от ума» оказывается на балу в Хогвартсе и сразу сравнивает его с московскими вечерами.,Раскольников снова оказывается перед выбором: «убить или пощадить» — но теперь в миссии.,"Раскольников считает, что чудовища — лишь аллегория его мыслей, пока они не нападают всерьёз.",Наташа Ростова участвует в Чуунинских экзаменах и побеждает танцем.,"Раскольников видит тысячи фанатов и думает: «Вот она, настоящая сила единства»."
"Наташа Ростова заходит в Запретный лес и поёт песню — и чудовища останавливаются, зачарованные её голосом.","Андрей Болконский собирает «свою армию» игроков, чтобы сражаться честно в городе.","Андрей Болконский видит небо в Изнанке — и понимает, что мечты о славе ничто перед тьмой.","Раскольников встречает Итaчи и впервые видит, каково это — жить с виной.",Софья спорит с фанатками: «любовь к музыке — это тоже протест против лицемерия».
Раскольников встречает Гарри Поттера и видит в нём отражение своей борьбы «герой или преступник».,Муму становится милым питомцем в GTA — и весь криминальный мир неожиданно меняется.,"Софья становится подругой Макс и спорит, кто больше ненавидит светское общество.",Софья и Хината находят общий язык: скромность — тоже сила.,"Муму становится мемом в фан-сообществе BTS, и песня о ней выходит в топы."
